ORDEM;CAMPO;BLOCO;BLOCO_DESCRICAO;TIPO;OBRIGATORIO;DOMINIO;ORIGEM_DADO;ESTABILIDADE;DESCRICAO
0011;EXEC_ID;IDENT;Identificação — chaves e proveniência;texto;sim;RUN-<AAAAMMDD>-<6 hex>;RCC:identificador da execucao;POR_EXECUCAO;Execução que emitiu a linha. Permite diff entre rodadas sem depender de data de arquivo.
1001;END_MUNICIPIO;END;Endereço canônico e original;texto;sim;código IBGE 7 díg;IBGE:COD_MUNICIPIO;n/a;Município. Prefixo de toda chave — sem ele endereços homônimos de cidades distintas colidem.
1002;END_LOGRADOURO;END;Endereço canônico e original;texto;sim;livre normalizado;DERIVADO:NOM_TIPO_SEGLOGR + NOM_TITULO_SEGLOGR + NOM_SEGLOGR normalizados;n/a;Logradouro canônico: tipo + título + nome, ASCII maiúsculo, espaço colapsado, abreviação e numeral expandidos.
1003;END_LOGRADOURO_ORIG;END;Endereço canônico e original;texto;sim;livre cru;IBGE:NOM_TIPO_SEGLOGR + NOM_TITULO_SEGLOGR + NOM_SEGLOGR;n/a;Logradouro como veio da fonte. Par de auditoria — permite conferir a normalização sem abrir o pipeline.
1004;END_LOGR_EQUIV_SUGERIDA;END;Endereço canônico e original;texto;nao;livre;DERIVADO:chave fonetica/romano + confirmacao por geometria e numeracao;n/a;Outro logradouro que provavelmente é ESTE, escrito de outro jeito. MARCAÇÃO, nunca aplicação: a fonética acerta a grafia (AYRTON SENNA≡AIRTON SENA) e erra o ordinal (fundiria CEFER I com CEFER II), então ela gera o candidato e a geometria confirma. Vazio = nenhum candidato.
1005;END_LOGR_EQUIV_GRAU;END;Endereço canônico e original;texto;nao;SUSTENTADA | PLAUSIVEL | ESPECULATIVA;DERIVADO:regua R9 sobre a evidencia independente;n/a;Grau da equivalência, na mesma régua R9 das hipóteses de unidade. SUSTENTADA exige as DUAS provas independentes: mesma coordenada (≤50 m) E número em comum. Só grafia nunca sustenta.
1006;END_LOGR_EQUIV_EVIDENCIA;END;Endereço canônico e original;texto;nao;livre;DERIVADO:distancia entre centroides e numeros em comum;n/a;O que sustenta o grau, em texto: distância entre centróides e quantidade de números em comum. Sem isto o grau é uma opinião com nome técnico.
1007;END_NUMERO;END;Endereço canônico e original;inteiro;sim;> 0;DERIVADO:NUM_ENDERECO coagido a inteiro;n/a;"Número predial. Zero não existe para cruzamento (R1); linha sem número usa chave de quadra/lote."
1008;END_NUMERO_ORIG;END;Endereço canônico e original;texto;sim;livre cru;IBGE:NUM_ENDERECO;n/a;Número como veio: S/N, KM 12, 0, com letra.
1009;END_QUADRA;END;Endereço canônico e original;texto;condicional;livre;DERIVADO:NOM_COMP_ELEM/VAL_COMP_ELEM camada QUADRA;n/a;Quadra, quando o endereçamento for por quadra/lote.
1010;END_LOTE;END;Endereço canônico e original;texto;condicional;livre;DERIVADO:NOM_COMP_ELEM/VAL_COMP_ELEM camada LOTE;n/a;Lote, idem.
1011;END_COMPLEMENTO;END;Endereço canônico e original;texto;condicional;rótulos canônicos separados por ·;DERIVADO:NOM_COMP_ELEM1..5 + VAL_COMP_ELEM1..5 em 7 camadas;n/a;Complemento normalizado nas 7 camadas, em ordem canônica.
1012;END_COMPLEMENTO_ORIG;END;Endereço canônico e original;texto;condicional;livre cru;IBGE:NOM_COMP_ELEM1..5 + VAL_COMP_ELEM1..5;n/a;Complemento cru. É onde mais se erra no parsing — o par é obrigatório.
1013;END_LOCALIDADE;END;Endereço canônico e original;texto;sim;livre normalizado;IBGE:DSC_LOCALIDADE;n/a;Bairro/localidade, ASCII maiúsculo, espaço colapsado.
1014;END_CEP;END;Endereço canônico e original;texto;condicional;8 díg (texto);IBGE:CEP;n/a;CEP. Descritivo apenas: nunca entra em chave nem penaliza confiabilidade quando a coordenada confirma (R7).
2001;GEO_LAT_ORIG;GEO;Geometria;decimal(9,6);condicional;-34..6;IBGE:LATITUDE;n/a;Latitude COMO VEIO da fonte, intocada. Nunca é sobrescrita: o tratamento propõe ao lado, jamais por cima.
2002;GEO_LON_ORIG;GEO;Geometria;decimal(9,6);condicional;-74..-32;IBGE:LONGITUDE;n/a;Longitude como veio da fonte.
2003;GEO_LAT;GEO;Geometria;decimal(9,6);condicional;-34..6;DERIVADO:LATITUDE apos ajuste declarado em GEO_AJUSTE_FONTE;n/a;Latitude EM USO. Igual à original quando não houve ajuste. Vazia em unidade inferida — coordenada nunca é fabricada.
2004;GEO_LON;GEO;Geometria;decimal(9,6);condicional;-74..-32;DERIVADO:LONGITUDE apos ajuste declarado em GEO_AJUSTE_FONTE;n/a;Longitude em uso.
2005;GEO_AJUSTE_FONTE;GEO;Geometria;texto;condicional;SEM_AJUSTE | MINERACAO_HISTORICO | VIZINHO_CONFIRMADO | REGUA_LOGRADOURO | CENTROIDE_BLOCO | CAMPO;RCC:etapa que produziu a coordenada em uso;n/a;O que produziu a coordenada em uso. SEM_AJUSTE significa que a original foi mantida — e é o valor esperado na maioria das linhas.
2006;GEO_DESLOCAMENTO_M;GEO;Geometria;decimal(8,1);condicional;>= 0;DERIVADO:haversine(GEO_*_ORIG, GEO_*);n/a;Distância em metros entre a coordenada original e a em uso (haversine). Zero quando não houve ajuste. É a medida auditável do quanto o tratamento moveu o ponto — número grande com evidência fraca é alvo de revisão.
2007;GEO_ACURACIA_M;GEO;Geometria;decimal(8,1);condicional;>= 0;DERIVADO:piso por NV_GEO_COORD;n/a;Incerteza posicional declarada da coordenada em uso, em metros. Sem isto o ajuste vira opinião: mover 30 m com acurácia de 50 m não é correção.
2008;GEO_NIVEL;GEO;Geometria;inteiro;condicional;1..6;IBGE:NV_GEO_COORD;n/a;Nível de precisão declarado pela fonte para a coordenada ORIGINAL.
2009;GEO_QUALIDADE;GEO;Geometria;texto;sim;VALIDADA | ESTIMADA | BAIXA | HERDADA_CENTROIDE | AUSENTE;DERIVADO:NV_GEO_COORD + sanidade geoespacial;n/a;Qualidade da coordenada EM USO. BAIXA = a coordenada existe mas o nível de precisão é ruim (não confundir com ESTIMADA, que é derivada). HERDADA_CENTROIDE marca posição emprestada do grupo — nunca confundir com medição.
2010;GEO_RAIO_GRUPO_M;GEO;Geometria;decimal(8,1);condicional;>= 0;DERIVADO:haversine max ao centroide do grupo;n/a;Raio máximo do grupo ao centróide, em metros. Grupo espalhado denuncia unificação indevida.
2501;SET_COD;SET;Contexto do setor censitário — ocupação de domicílios;texto;sim;15 dígitos;DERIVADO:COD_SETOR truncado a 15 digitos;ESTAVEL_POR_SAFRA;"Setor censitário do endereço, 15 dígitos. O CNEFE traz 16 com sufixo; a junção trunca — nunca o inverso, porque o sufixo não é constante entre UFs."
2502;SET_DOM_PARTICULARES;SET;Contexto do setor censitário — ocupação de domicílios;inteiro;condicional;>= 0;IBGE:AGREGADOS_SETOR_2022:V0003;n/a;Domicílios particulares do setor (DPPO+DPPV+DPPUO+DPIO). Fecha exatamente com a contagem de COD_ESPECIE=1 do CNEFE no mesmo setor — é essa identidade que prova que o desocupado está no arquivo de endereços, apenas não identificado.
2503;SET_DOM_OCUPADOS;SET;Contexto do setor censitário — ocupação de domicílios;inteiro;condicional;>= 0;IBGE:AGREGADOS_SETOR_2022:V0007;n/a;Domicílios particulares ocupados no setor.
2504;SET_DOM_USO_OCASIONAL;SET;Contexto do setor censitário — ocupação de domicílios;inteiro;condicional;>= 0;IBGE:AGREGADOS_SETOR_2022:V0008;n/a;Domicílios particulares permanentes de uso ocasional.
2505;SET_DOM_VAGOS;SET;Contexto do setor censitário — ocupação de domicílios;inteiro;condicional;>= 0;IBGE:AGREGADOS_SETOR_2022:V0009;n/a;Domicílios particulares permanentes vagos.
2506;SET_DOM_SEM_OCUPACAO_HABITUAL;SET;Contexto do setor censitário — ocupação de domicílios;inteiro;condicional;>= 0;DERIVADO:V0008 + V0009;n/a;Vagos MAIS uso ocasional (V0008+V0009), somados porque nenhum dos dois tem morador habitual. NAO se chama DESOCUPADOS: vago e uso ocasional sao categorias distintas do IBGE, e o rotulo antigo fazia ler 30%% de uso ocasional como 30%% de imovel vago. As parcelas continuam publicadas separadas em SET_DOM_VAGOS e SET_DOM_USO_OCASIONAL.
2507;SET_TX_SEM_OCUPACAO_HABITUAL;SET;Contexto do setor censitário — ocupação de domicílios;decimal(6,4);condicional;0..1;DERIVADO:(V0008 + V0009) / V0003;n/a;Domicilios sem ocupacao habitual sobre particulares. ATRIBUTO DO SETOR, jamais da unidade: multiplicá-la pelas unidades da coletiva para estimar quantas estão vagas produz número que parece dado e é palpite. Gate G19 é executável.
2508;SET_CLASSE_SEM_OCUPACAO_HABITUAL;SET;Contexto do setor censitário — ocupação de domicílios;texto;condicional;BAIXA | MEDIA | ALTA | MUITO_ALTA | INSUFICIENTE;DERIVADO:faixa de SET_TX_SEM_OCUPACAO_HABITUAL com piso amostral;n/a;Faixa da taxa: BAIXA <10%, MEDIA <25%, ALTA <40%, MUITO_ALTA >=40%. INSUFICIENTE abaixo de 20 domicílios no setor, onde a taxa é ruído amostral e não classifica.
3001;COL_FORMA;COL;Classificação da coletividade;texto;sim;VERTICAL | VERTICAL_MULTIBLOCO | HORIZONTAL | HORIZONTAL_MULTIBLOCO | LOTEAMENTO | COMERCIAL | SIMPLES | INDEFINIDA;DERIVADO:complemento normalizado + COD_ESPECIE;n/a;Eixo estrutural reconciliado. Domínio único para todas as fontes.
3002;COL_FORMA_ORIG;COL;Classificação da coletividade;texto;sim;livre cru;DERIVADO:rotulo de tipologia do motor de origem;n/a;Rótulo de tipologia como a fonte emitiu, antes do DE-PARA.
3003;COL_USO;COL;Classificação da coletividade;texto;sim;RESIDENCIAL | COMERCIAL | MISTO | INDEFINIDO;DERIVADO:COD_ESPECIE residencial x nao-residencial no grupo;n/a;Uso predominante do grupo.
3004;COL_CLASSE;COL;Classificação da coletividade;texto;sim;GRANDE | PEQUENA | SIMPLES;DERIVADO:porte do grupo (unidades e blocos);n/a;Porte. Só porte: PAR_FALTANTE virou UND_NATUREZA, GENERICA virou COL_FORMA=INDEFINIDA.
3005;COL_CRITERIO_UNIFICACAO;COL;Classificação da coletividade;texto;sim;NUMERO_QUADRA_LOTE | NUMERO | QUADRA_LOTE | PARCIAL;DERIVADO:NUM_ENDERECO + quadra/lote do complemento;n/a;O que uniu os membros do grupo. PARCIAL é valor real e frequente — grupo sem âncora forte.
3006;COL_VEREDITO;COL;Classificação da coletividade;texto;sim;CONCLUSIVO | FORTE | MODERADO | FRAGIL | INSUFICIENTE;DERIVADO:forca da evidencia estrutural e espacial;n/a;Força da conclusão sobre a coletividade.
3007;COL_QTD_OBSERVADA;COL;Classificação da coletividade;inteiro;sim;>= 1;DERIVADO:contagem de unidades OBSERVADO no grupo;n/a;Unidades OBSERVADAS no grupo. Nunca soma inferidas.
3008;COL_QTD_INFERIDA;COL;Classificação da coletividade;inteiro;sim;>= 0;DERIVADO:contagem de unidades INFERIDO no grupo;n/a;Unidades INFERIDAS no grupo, em coluna separada por doutrina.
3009;COL_QTD_BLOCOS;COL;Classificação da coletividade;inteiro;sim;>= 0;DERIVADO:blocos distintos no complemento;n/a;Blocos/torres distintos.
3010;COL_QTD_UNID_ATIVIDADE;COL;Classificação da coletividade;inteiro;sim;>= 0;DERIVADO:contagem de ATV_PRESENTE=SIM no grupo;n/a;Unidades do grupo com atividade econômica observada. Zero em coletiva puramente residencial.
3011;COL_FLAG_USO_MISTO;COL;Classificação da coletividade;inteiro;sim;0 | 1;DERIVADO:COD_ESPECIE {1,2} e {3,4,5,6,8} na mesma chave;n/a;Residencial e não-residencial no mesmo grupo. Muda a abordagem de campo e a tarifa.
3012;COL_POLO_CLASSE;COL;Classificação da coletividade;texto;condicional;ZONA_CENTRAL | POLO_REGIONAL | POLO_LOCAL | FORA_DE_POLO;DERIVADO:DBSCAN por densidade de enderecos IBGE;n/a;Aglomeração comercial (densidade de endereços) a que o grupo pertence. Contexto de vizinhança: loja em zona central não é loja isolada.
4001;UND_NATUREZA;UND;Atributos da unidade;texto;sim;OBSERVADO | INFERIDO;DERIVADO:registro presente no arquivo x lacuna inferida;n/a;"Fato x hipótese. Nenhuma agregação mistura os dois; toda leitura abre em OBSERVADO."
4002;UND_BLOCO;UND;Atributos da unidade;texto;condicional;livre;DERIVADO:camada BLOCO do complemento;n/a;Bloco/torre da unidade.
4003;UND_TIPO;UND;Atributos da unidade;texto;sim;APARTAMENTO | ARMAZEM | BANCA | BARRACA | BARRACAO | BOX | CABINE | CAIS | CASA | CHACARA | CHALE | COMODO | DEPOSITO | ESTANCIA | FAZENDA | GARAGEM | GRANJA | HABITACAO | HANGAR | LOJA | LOTE | MANSAO | MODULO | PECA | PORTA | QUARTO | QUITINETE | SALA | SEDE | SITIO | SOBRADO | SUITE | OUTRO;DERIVADO:camada UNIDADE/MORADIA do complemento;n/a;Tipo da unidade, domínio fechado.
4004;UND_VALOR;UND;Atributos da unidade;texto;condicional;livre;DERIVADO:valor da camada UNIDADE/MORADIA;n/a;Identificador da unidade dentro do grupo (101, 3, A).
4005;UND_POSICAO;UND;Atributos da unidade;texto;condicional;ANDAR | ANEXO | COBERTURA | DEPENDENCIA | DIR | ESQ | FRENTE | FUNDOS | LADO | LAJE | LATERAL | MEIO | PAVIMENTO | PORAO | SOBRELOJA | SUBSOLO | TERREO;DERIVADO:camada POSICAO do complemento;n/a;Posição ou pavimento, quando é ela que distingue a economia. Domínio espelha as camadas POSICAO e PAVIMENTO da normalização de complemento — valor novo lá exige entrada aqui, por isso o gate.
4006;UND_ECONOMIAS;UND;Atributos da unidade;inteiro;sim;>= 1;DERIVADO:1 por unidade observada;n/a;Economias representadas pela linha. Somável — é a grandeza que agrega.
4501;ATV_PRESENTE;ATV;Atividade econômica — o que funciona no local;texto;sim;SIM | NAO | INDETERMINADO;DERIVADO:COD_ESPECIE + DSC_ESTABELECIMENTO;n/a;Há atividade econômica observada NESTA unidade. INDETERMINADO é resposta legítima: a fonte não classificou, e isso não é o mesmo que ausência.
4502;ATV_NOME;ATV;Atividade econômica — o que funciona no local;texto;condicional;livre normalizado;DERIVADO:DSC_ESTABELECIMENTO normalizado;n/a;"O que funciona no local — nome do estabelecimento como o recenseador anotou, normalizado. É a resposta direta a ""o que tem ali""."
4503;ATV_NOME_ORIG;ATV;Atividade econômica — o que funciona no local;texto;condicional;livre cru;IBGE:DSC_ESTABELECIMENTO;n/a;Nome exatamente como veio no arquivo. Par de auditoria: texto de recenseamento vem abreviado e inconsistente.
4504;ATV_SETOR;ATV;Atividade econômica — o que funciona no local;texto;condicional;ALIMENTACAO | COMERCIO_VAREJO | COMERCIO_SERVICO | SERVICO_PROF | SERVICO_AUTO | BELEZA_ESTETICA | SAUDE | EDUCACAO | HOSPEDAGEM | LAZER | ASSOCIACAO_ONG | INDUSTRIAL | MANUFATURA | RELIGIOSO | AGROPECUARIO | DOMICILIO_COLETIVO | CONSTRUCAO | RESIDENCIAL | VAGO | DIVERSOS | NAO_CLASSIFICADO;"DERIVADO:COD_ESPECIE; especie 6 pelo lexico sobre DSC_ESTABELECIMENTO";n/a;"Setor da atividade. Vem da espécie oficial; só a espécie 6 (outras finalidades) passa pelo léxico sobre o nome anotado. RESIDENCIAL é valor legítimo: domicílio com nome de estabelecimento anotado é negócio em casa, e o recenseador viu."
4505;ATV_DETALHE;ATV;Atividade econômica — o que funciona no local;texto;condicional;livre;DERIVADO:trecho de DSC_ESTABELECIMENTO que casou no lexico;n/a;Trecho do nome anotado que sustentou a classificação de setor. Sem isto o léxico é caixa-preta.
4506;ATV_ESPECIE_COD;ATV;Atividade econômica — o que funciona no local;inteiro;condicional;1..8;IBGE:COD_ESPECIE;n/a;Espécie do endereço no layout oficial, preservada crua. É o que decide o macro-uso antes de qualquer léxico.
4507;ATV_QTD_ESTABELECIMENTOS;ATV;Atividade econômica — o que funciona no local;inteiro;condicional;>= 0;DERIVADO:contagem de COD_ESPECIE em {3,4,5,6,8} por chave;n/a;Estabelecimentos CONTADOS no endereço (espécies 3,4,5,6,8). Contagem estrutural, não declaração.
4508;ATV_DECLARADA_FAIXA;ATV;Atividade econômica — o que funciona no local;texto;condicional;UNICO | MULTIPLO_ATE_10 | MULTIPLO_11_MAIS | MULTIPLO_QTD_DESCONHECIDA | SEM_DECLARACAO;IBGE:COD_INDICADOR_ESTAB_ENDERECO (decodificado);n/a;Multiplicidade DECLARADA pelo recenseador, decodificada do indicador oficial. Domínio em CÓDIGO, não em rótulo de exibição: rótulo muda com a redação, código é contrato. É percepção de quem esteve no local.
4509;ATV_VALIDACAO_DECLARADA;ATV;Atividade econômica — o que funciona no local;texto;condicional;CONFIRMADO | DUVIDA_SUB_ENUMERACAO | DUVIDA_SUPER_CONTAGEM | SEM_DECLARACAO;DERIVADO:COD_INDICADOR_ESTAB_ENDERECO x ATV_QTD_ESTABELECIMENTOS;n/a;Confronto entre a faixa declarada e a contagem estrutural. DUVIDA_SUB_ENUMERACAO = o recenseador viu mais do que a base registrou: alvo de verificação, nunca descarte. A estrutura decide, a declaração valida.
4510;ATV_EVIDENCIA_CAMPO;ATV;Atividade econômica — o que funciona no local;texto;condicional;DSC_ESTABELECIMENTO | COD_ESPECIE | COD_INDICADOR_ESTAB_ENDERECO | MULTIPLOS_CAMPOS | NENHUM;RCC:nome do campo IBGE que sustentou a afirmacao;n/a;QUAL campo do layout oficial sustenta a afirmação de atividade. Nomear o campo é o que impede a coluna de virar opinião: um auditor abre o arquivo bruto e confere.
4511;ATV_GRAO_EVIDENCIA;ATV;Atividade econômica — o que funciona no local;texto;condicional;UNIDADE | ENDERECO;DERIVADO:presenca de complemento estruturado no registro;n/a;"ATÉ ONDE a evidência resolve. UNIDADE exige que o registro traga complemento estruturado nos campos NOM_COMP/VAL_COMP; sem eles a atividade é do ENDERECO e atribuí-la a uma unidade seria inferência disfarçada de fato."
4512;ATV_INCERTEZA_M;ATV;Atividade econômica — o que funciona no local;decimal(8,1);condicional;> 0;DERIVADO:piso por NV_GEO_COORD;n/a;Incerteza posicional da evidência, em metros, derivada do nível de precisão da coordenada oficial. Nunca zero.
4513;ATV_ROTA_TRATAMENTO;ATV;Atividade econômica — o que funciona no local;texto;condicional;RECLASSIFICACAO_1_1 | INDIVIDUALIZACAO_MULTI | VERIFICAR_CAMPO | SEM_ROTA;DERIVADO:COD_INDICADOR_ESTAB_ENDERECO;n/a;Rota decidida pelo indicador oficial de multiplicidade, nunca por contagem bruta: torre com uma loja no térreo tem indicador UNICO e é reclassificação direta, não individualização.
4514;ATV_FLAG_FACHADA_ATIVA;ATV;Atividade econômica — o que funciona no local;inteiro;condicional;0 | 1;DERIVADO:camada PAVIMENTO terreo + COD_ESPECIE nao-residencial;n/a;Estabelecimento em pavimento térreo com frente para a via, pelo complemento normalizado. Marca o imóvel que opera de portas abertas.
4515;ATV_FLAG_GAP_TARIFARIO;ATV;Atividade econômica — o que funciona no local;inteiro;condicional;0 | 1;DERIVADO:ATV_PRESENTE x CAD_PERFIL_TARIFARIO;n/a;Atividade econômica observada em ligação com perfil RESIDENCIAL no cadastro. Exige confronto com o cadastro da concessionária — sem ele fica 0, nunca 1.
5001;EVD_REGRA;EVD;Evidência — o porquê da linha;texto;sim;identificador de regra;RCC:identificador da regra que produziu a linha;n/a;Regra que produziu a linha (gap_grade, T1.complemento_estruturado). Sem isso não há auditoria, só resultado.
5002;EVD_DESCRICAO;EVD;Evidência — o porquê da linha;texto;sim;livre;RCC:evidencia em texto legivel;n/a;A evidência em texto legível, suficiente para um terceiro julgar sem rodar nada.
5003;EVD_PRESENTES;EVD;Evidência — o porquê da linha;texto;condicional;livre;DERIVADO:conjunto observado no grupo;n/a;Conjunto observado que sustentou a inferência.
5004;EVD_GRAU;EVD;Evidência — o porquê da linha;texto;condicional;SUSTENTADA | PLAUSIVEL | ESPECULATIVA;DERIVADO:quantos lados da observacao cercam a hipotese;n/a;R9 — grau da hipótese por UM critério: por quantos lados a observação a cerca. SUSTENTADA nos dois lados, PLAUSIVEL de um lado e perto, ESPECULATIVA extrapolação livre. Obrigatório em toda linha INFERIDO (G16). Nenhuma hipótese é descartada: descartar deixa um quadrante vazio na matriz de confusão, e sem falso negativo o limiar nunca calibra.
5005;EVD_CLASSE;EVD;Evidência — o porquê da linha;texto;condicional;A_INTERIOR_FAIXA | A_INTERIOR_SEQUENCIA | A_INTERIOR_QUADRA_LOTE | B_ANDAR_AUSENTE | C_EXTRAPOLADA | D_POSICIONAL_SATURADO | E_POSICIONAL_ENUMERADO | F_POSICIONAL_IMPLICITO;DERIVADO:mecanismo da regra de gap que produziu a linha;n/a;Mecanismo exato que produziu a hipótese. B_ANDAR_AUSENTE era ponto cego: a grade era o produto cartesiano dos andares OBSERVADOS, então andar sem nenhum rastro ficava invisível — e prédio não pula andar.
5006;EVD_DISTANCIA;EVD;Evidência — o porquê da linha;inteiro;condicional;>= 1;DERIVADO:passos alem do intervalo observado do andar;n/a;Passos além do intervalo observado do próprio andar. Preenchido se e somente se EVD_CLASSE=C_EXTRAPOLADA (G18). É o campo que permite mover o limiar depois com um UPDATE, sem re-rodar a safra.
6001;CNF_ELEGIBILIDADE;CNF;Confiabilidade;texto;sim;ELEGIVEL | ELEGIVEL_COM_OBSERVACAO | ELEGIVEL_COM_QUARENTENA | RETIDO_SEM_NUMERO | RETIDO_GEO | RETIDO_ANOMALIA | RETIDO_CONFIANCA;DERIVADO:NUMERO + SANIDADE_GEO + N_SINAIS_PRIMARIOS + RADAR_CONF_FAIXA;n/a;POR QUE este registro entrou ou não no universo de candidatos. A exclusão por FAIXA DE CONFIANÇA usa pesos heurísticos (40/30/30) ainda NÃO calibrados contra campo — pode ficar, invisível não pode. RETIDO_CONFIANCA é o rótulo a monitorar: se ele estiver removendo oportunidade real, o número aparece aqui antes de aparecer no prejuízo.
6002;CNF_COORD;CNF;Confiabilidade;inteiro;sim;0..40;DERIVADO:NV_GEO_COORD;n/a;Eixo coordenada. Zero obrigatório em INFERIDO.
6003;CNF_ENDERECO;CNF;Confiabilidade;inteiro;sim;0..30;DERIVADO:completude de logradouro, numero e complemento;n/a;Eixo endereço textual.
6004;CNF_CONTEXTO;CNF;Confiabilidade;inteiro;sim;0..30;DERIVADO:sanidade geo + ausencia de anomalia de coleta;n/a;Eixo contexto.
6005;CNF_LOCALIZACAO;CNF;Confiabilidade;inteiro;sim;0..100;DERIVADO:soma dos tres eixos;n/a;Soma dos três eixos.
6006;CNF_FAIXA;CNF;Confiabilidade;texto;sim;MUITO_ALTA | ALTA | MEDIA | BAIXA;DERIVADO:faixa de CNF_LOCALIZACAO;n/a;Faixa de localização. É trava, não decoração.
6007;CNF_TIPOLOGIA;CNF;Confiabilidade;texto;condicional;ALTA | MEDIA | BAIXA;DERIVADO:forca do padrao de complemento;n/a;Confiança da tipologia — dimensão distinta da localização.
6008;CNF_INFERENCIA;CNF;Confiabilidade;texto;condicional;ALTA | MEDIA | BAIXA;DERIVADO:tamanho e regularidade da lacuna;n/a;Confiança da hipótese. Só preenchida em INFERIDO.
7001;CAD_STATUS;CAD;Confronto com o cadastro;texto;sim;CASADO | SEM_CADASTRO | CADASTRO_SEM_FONTE | AMBIGUO;CADASTRO:resultado do confronto;n/a;Resultado do confronto no grão da unidade.
7002;CAD_SITUACAO;CAD;Confronto com o cadastro;texto;condicional;ATIVA | CORTADA | SUPRIMIDA | INATIVA;CADASTRO:situacao da ligacao;n/a;Situação da ligação no cadastro.
7003;CAD_QTD_LIGACOES;CAD;Confronto com o cadastro;inteiro;condicional;>= 0;CADASTRO:ligacoes no endereco;n/a;Ligações no endereço.
7004;CAD_ECONOMIAS;CAD;Confronto com o cadastro;inteiro;condicional;>= 0;CADASTRO:economias declaradas;n/a;Economias que o cadastro declara no endereço.
